Quarter Back_1,Quarter Back_2,Quarter Back_3,Running Back_1,Running Back_2,Running Back_3,Running Back_4,Offensive Lineman_1,Offensive Lineman_2,Offensive Lineman_3,Offensive Lineman_4,Offensive Lineman_5,Offensive Lineman_6,Offensive Lineman_7,Offensive Lineman_8,Offensive Lineman_9,Tight End_1,Tight End_2,Tight End_3,Wide Receiver_1,Wide Receiver_2,Wide Receiver_3,Wide Receiver_4,Wide Receiver_5,Wide Receiver_6,Defensive Lineman_1,Defensive Lineman_2,Defensive Lineman_3,Defensive Lineman_4,Defensive Lineman_5,Defensive Lineman_6,Defensive Lineman_7,Defensive Lineman_8,Defensive Lineman_9,Line Backer_1,Line Backer_2,Line Backer_3,Line Backer_4,Line Backer_5,Line Backer_6,Line Backer_7,Defensive Back_1,Defensive Back_2,Defensive Back_3,Defensive Back_4,Defensive Back_5,Defensive Back_6,Defensive Back_7,Defensive Back_8,Defensive Back_9,Defensive Back_10,Kicker_1,Punter_1,Team Rating
89,67,0,81,73,73,71,83,80,77,75,72,68,68,68,65,83,64,35,95,83,80,78,75,69,80,76,75,73,72,70,65,0,0,82,82,70,66,65,63,0,94,89,88,81,77,68,67,67,66,63,77,73,83
76,66,58,87,81,68,67,84,79,77,72,72,72,72,68,66,82,73,65,84,80,79,71,68,65,79,76,69,68,68,61,0,0,0,82,78,75,73,71,71,69,92,86,83,81,80,78,75,71,69,69,78,75,79
78,66,0,96,87,78,73,89,89,84,80,80,67,66,64,63,80,80,69,83,74,73,68,68,61,99,84,72,71,69,0,0,0,0,79,76,73,70,69,68,65,90,83,80,78,77,76,76,68,66,65,68,72,82
99,63,60,85,77,76,71,91,90,90,75,74,65,63,61,59,89,75,74,92,88,75,72,71,66,82,77,73,62,0,0,0,0,0,91,89,84,78,72,69,69,84,83,82,79,78,77,77,75,72,71,74,75,85
86,62,55,83,79,67,64,90,78,77,73,68,66,63,62,56,84,76,68,97,81,80,75,69,67,90,74,72,69,67,66,0,0,0,93,79,78,77,75,74,73,93,81,79,76,70,68,66,65,64,63,78,76,80
84,60,60,86,75,70,66,89,86,81,78,69,65,65,65,63,82,67,66,93,85,73,71,69,0,72,71,62,60,0,0,0,0,0,92,77,75,75,74,73,66,92,85,75,75,74,69,69,68,66,64,72,69,81
97,61,52,79,75,74,69,86,83,80,77,76,75,71,67,67,99,65,64,96,78,76,75,62,0,84,78,71,69,62,0,0,0,0,76,75,69,69,67,0,0,95,81,79,78,77,76,71,70,64,61,84,73,88
73,58,0,92,78,76,56,95,85,83,77,73,67,67,63,63,78,75,65,83,82,76,73,70,64,77,74,73,71,69,69,67,0,0,88,79,66,66,63,61,0,86,80,79,78,77,74,74,72,71,71,75,75,83
90,58,55,88,81,70,66,98,93,87,74,71,71,70,66,62,81,72,66,91,83,82,75,70,69,91,82,72,70,68,0,0,0,0,88,79,74,67,64,64,0,83,79,76,76,76,76,75,73,72,67,76,79,86
73,69,0,74,74,72,71,75,68,68,68,68,65,64,63,61,87,69,68,82,81,80,74,72,71,83,79,73,71,0,0,0,0,0,79,77,76,71,71,70,69,89,87,81,80,80,76,75,72,71,70,79,74,76
74,67,50,82,76,74,71,91,91,90,82,75,73,72,67,64,85,67,64,80,75,71,70,69,0,81,79,76,72,63,0,0,0,0,76,72,69,69,61,61,0,90,80,79,79,78,70,69,68,66,65,75,69,84
82,65,59,85,78,64,62,82,81,72,71,69,64,62,60,60,86,76,73,85,77,69,69,64,63,85,69,69,68,66,0,0,0,0,84,82,73,68,68,68,68,87,78,75,74,74,74,72,72,69,65,81,77,81
73,69,64,80,78,66,64,87,79,79,76,71,71,70,65,63,78,69,66,90,78,74,71,70,70,86,81,67,67,65,64,61,60,0,77,73,72,69,67,65,64,88,84,79,78,76,74,70,69,67,67,72,83,74
70,59,58,86,72,71,64,75,72,70,70,68,68,68,65,64,81,77,68,82,81,77,75,72,71,83,80,63,0,0,0,0,0,0,79,75,74,73,72,71,67,85,82,81,81,79,76,73,72,68,67,83,68,76
74,57,0,84,76,75,66,83,82,75,74,72,68,67,66,63,72,70,70,83,78,74,73,70,69,77,71,71,71,71,68,67,0,0,85,84,74,72,66,65,63,85,74,74,73,72,71,70,69,68,66,69,74,74
